4	0	1
6	2	11/10
8	4	29/126
8	0	121/100
10	6	5/156
10	2	319/1260
12	8	89/24310
12	4	11/312
12	0	841/15876
14	10	131/352716
14	6	89/22100
14	2	145/19656
16	12	181/5200300
16	8	1441/3527160
16	4	2581/3063060
16	0	25/24336
18	14	239/77558760
18	10	1991/52003000
18	6	3799/44442216
18	2	89/758472
20	16	61/233360622
20	12	2629/775587600
20	8	5249/655237800
20	4	655/55023696
20	0	7921/590976100
22	18	379/17672631900
22	14	61/212146020
22	10	239/336979440
22	6	181/162249360
22	2	11659/8574525960
24	20	461/269128937220
24	16	379/16066029000
24	12	61/1013911668
24	8	239/2419833312
24	4	16109/126419293000
24	0	17161/124408576656
26	22	19/141955702200
26	18	461/244662670200
26	14	379/76784538600
26	10	305/36404257032
26	6	21271/1885453455600
26	2	23711/1834229014800
28	24	649/63205303218876
28	20	209/1419557022000
28	16	461/1169318830680
28	12	379/551386115280
28	8	5429/5672996720820
28	4	31309/27356215592160
28	0	32761/27043120090000
30	26	755/973469712824056
30	22	7139/632053032188760
30	18	551/17886418477200
30	14	461/8396822841264
30	10	33731/429621681489000
30	6	7991/82310025149352
30	2	43259/403328819628000
32	28	79/1366693931797320
32	24	1661/1946939425648112
32	20	649/274616145019944
32	16	19/4429017908640
32	12	41029/6542524463818200
32	8	49649/6233420033240400
32	4	11041/1213545242586600
32	0	57121/6015361252737600
34	30	991/232714176627630544
34	26	869/13666939317973200
34	22	755/4229558062614864
34	18	3245/9860027302144656
34	14	1691/3450943120482000
34	10	60391/94926082220489520
34	6	68599/91902987669570000
34	2	14579/18099160475148720
36	32	1/3220084047286470
36	28	991/211558342388755040
36	24	2291/172203435406462320
36	20	3775/151861275200552736
36	16	5251/139683720113715960
36	12	131/2635265655640800
36	8	83441/1399551212225166000
36	4	90581/1370667416100444000
36	0	3721/54457179900226884
38	34	1259/56093138908331422716
38	30	11/32200840472864700
38	26	28739/29321986255081448544
38	22	79/42640850672076384
38	18	13439/4733009743750560272
38	14	85019/22293521730149067216
38	10	181/38853275692140000
38	6	110179/20873306650901047200
38	2	23119/4124096372561041800
40	36	1405/873065282167813104916
40	32	13849/560931389083314227160
40	28	29/405730589958095220
40	24	4955/36303411553910364864
40	20	7031/33224329481992849200
40	16	98905/343358343228449736096
40	12	117469/328686538329120862800
40	8	239/579468854608488000
40	4	28121/62804096187858150840
40	0	143641/312321918272897610000
42	38	1559/13608507434599516007800
42	34	3091/1746130564335626209832
42	30	36511/7067735502449759262216
42	26	1/100466622275337864
42	22	88199/5657281633817698524640
42	18	10349/482054816847823521120
42	14	27331/1012466909519787683360
42	10	155111/4902124943080031153760
42	6	61/1743519524307303600
42	2	174719/4756216641127269318000
44	40	1721/212392290424395860814420
44	36	1559/12371370395090469098000
44	32	40745/110006225553144451219416
44	28	6295/8750529669699701943696
44	24	89/78280243189534085700
44	20	129821/82082013523391334957504
44	16	14299/7107218453525603196000
44	12	36089/15100220764837976306112
44	8	3599/1340875352077773227352
44	4	7201/2508730871086620180000
44	0	212521/72430384849166701328400
46	42	31/54406172828063569451400
46	38	1721/193083900385814418922200
46	34	45211/1714671936759539016982800
46	30	7025/136198184018178844366896
46	26	112051/1363624206861536886225960
46	22	131/1135775164822694552520
46	18	179371/1210183532716667117963200
46	14	18881/105999086649724710523200
46	10	46055/227169497682783084722832
46	6	22361/101545823446825516340400
46	2	8759/38204387265404815884000
48	44	2069/51913710643776705684835560
48	40	31/49460157116421426774000
48	36	49909/26761428593473878462616920
48	32	1559/424585431959504899443360
48	28	25009/4244843401899907316101592
48	24	164929/19784947583191026094696656
48	20	181/16745403071103829941000
48	16	236849/18049022973660006730765440
48	12	4819/318932546007848173133040
48	8	57229/3440754380107650230597280
48	4	27199/1546397825633085720269520
48	0	361/20151421387095084840000
50	46	451/162570114034517025054861552
50	42	22759/519137106437767056848355600
50	38	899/6855177776336009750876400
50	34	1721/6626639461241150857409904
50	30	138751/330822815735114234149618000
50	26	184055/307944094065102367113551856
50	22	227879/291701150264995897550014800
50	18	239/249745725803319977977200
50	14	991/890267623049864362853088
50	10	29941/24153078776617741766508000
50	6	69611/52397773845639359225952864
50	2	12331/8972353201199462874727200
52	48	1/5201635822576736811500700
52	44	4961/1625701140345170250548615520
52	40	2069/225556122107443617803078640
52	36	31/1697472592235583366883680
52	32	153169/5163256580217063376398550200
52	28	204229/4799938308302202888207184800
52	24	50861/908040277371455697898934960
52	20	300901/4350514298237938814888792160
52	16	1/12318701904377836907940
52	12	375589/4112671981451697973308753600
52	8	36419/367816885369635896044250400
52	4	2869/27637915330874242906424640
52	0	421201/3994910354990056846762703376
54	50	241/18164038857579293274181929096
54	46	11/52016358225767368115007000
54	42	451/706339116149970522652157088
54	38	2069/1619707772085833217366869472
54	34	2759/1322614061450225373363534000
54	30	225451/74914159109331210443018964720
54	26	282179/70768321212147863095362340000
54	22	67159/13542772136797139265806972832
54	18	1259/214589012878370848969683432
54	14	379/56907360054755978160393000
54	10	456851/62630119031821571993530447680
54	6	79/10211052462145656246216000
54	2	489995/61528448373436602033046081056
56	52	2861/3136262529306125724764953838760
56	48	2651/181640388575792932741819290960
56	44	1/22600210815333408215485800
56	40	2255/25360937789384655908558402112
56	36	2069/14180025907305749608970252400
56	32	4061/19189927655223269962620002400
56	28	311501/1104503627893985794993228326000
56	24	372601/1055458962078319558165118328000
56	20	1405/3339984545791579910540147832
56	16	477161/991313396042509076863166240400
56	12	461/866617797405283895985413400
56	8	991/1738689702898427462930947200
56	4	51271/86382304366647446204030212320
56	0	570025/947643281785750058662812291136
58	54	3079/49263609265046928387789436527216
58	50	2861/2851147753914659749786321671600
58	46	241/78919617105344515605066312624
58	42	1/162291037664394188518821840
58	38	41/4036853393441377813160045280
58	34	271039/18310796363430344522332459380960
58	30	5611/282928420557778980218115420000
58	26	411319/16472882678876016713899005319200
58	22	1559/52060487859504383220969915600
58	18	106499/3085872271284279006235309684080
58	14	580399/15096286859733066799087645889520
58	10	19/457109292075568853409234000
58	6	991/22663744371464491262132657856
58	2	11929/266087029861023415486602465984
60	56	3305/774327632846470705223111406467256
60	52	33869/492636092650469283877894365272160
60	48	2861/13626519954916270390358075299440
60	44	1205/2833590061782369750772380938976
60	40	1/1420806369065623279635753000
60	36	59081/57341080341798707009250547175232
60	32	374489/269966869460832002572850362668000
60	28	7409/4219675300890303647824464264000
60	24	1721/812524541007240361538991438840
60	20	590861/240498142600090570324006928820000
60	16	129541/46993426302700591723526287474704
60	12	1259/419091627491280449577621640800
60	8	649/203526388599006780084283407720
60	4	748205/226540202691786150445142043566464
60	0	6241/1867852303211617571765559182400
62	58	3539/12178349853827309571919303301013360
62	54	7271/1548655265692941410446222812934512
62	50	3079/214041888530893550926257551807904
62	46	2861/97851390914351122612666559769312
62	42	241/4961435782334299095453513441840
62	38	131/1834700180795976301205280901200
62	34	81631/845413364013698885392796528865600
62	30	494491/4026363024530123009800796837505600
62	26	61/409556720380529471700609766800
62	22	652259/3753530767068242828056878871998000
62	18	718699/3662443143024236399505591230316000
62	14	281/1304595738911295237333821600160
62	10	13849/60091251749146079133657820786224
62	6	151/626930858556256782413467864464
62	2	78289/318049053040192378703770849342080
64	60	3781/191645966716130525165099506263706416
64	56	38929/121783498538273095719193033010133600
64	52	3305/3364320059953631339934897834995664
64	48	15395/7685123045347320828495152098245696
64	44	2861/856657776263279959202651997980400
64	40	31571/6406747129689938006496353303024736
64	36	181/27050066768145804440847090210000
64	32	107789/12608736457575737662143993944795520
64	28	2069/198600259117372991274166594251120
64	24	379/31016137596069337184344423860000
64	20	793381/57160911395639240781551898250712400
64	16	29621/1931805228772494870667389677160000
64	12	15455/935294167615087471921166622027024
64	8	950545/54604971824493272148138736669656096
64	4	79/4400869327303772979996018260400
64	0	982081/54155888003476026152703587761735936
66	62	4031/3017467217880703353213932318284164000
66	58	3781/174223606105573204695545005694278560
66	54	102631/1534472081582241006061832215927683360
66	50	16525/120795110724049430014805379408891936
66	46	3079/13456161137452705945024283168276640
66	42	374791/1106209974286739441136195458192072160
66	38	43621/94458451271069598813728285877928800
66	34	239/403432424370631711946348031132000
66	30	41/56538692890768736864965835914464
66	26	784151/917451898770577745362736263910364000
66	22	461/472331466820141620550159369068000
66	18	32699/30150296729061450432684454985724000
66	14	1559/1325315622126642166689912217447200
66	10	1060775/849902609508554443074483700176659296
66	6	99461/76662152561480702276943546555921120
66	2	991/749359207736039004322848889939680
68	64	4289/47533812913980349072792166510047556550
68	60	4031/2743152016255184866558120289349240000
68	56	109649/24147391806232446170802537789227008416
68	52	3539/379964515439412058643882262991616832
68	48	661/42300909560668995154997389418469648
68	44	403349/17376063205530292393227538894133518656
68	40	517841/16309506031150645606495189447703628000
68	36	57599/1408780330385666588021890435093680960
68	32	1/19899294606130966312493444351400
68	28	15539/261185616661185752552513228541700800
68	24	953809/13971481772706226807952526533263543200
68	20	19/249137627994268511861675992680000
68	16	1721/20684621136557032255240849462060080
68	12	235409/2649493964864724377195758903384727360
68	8	22199/238642604640333020961800841921525024
68	4	1247669/13053668635511653859965238987537037504
68	0	1/10368941271588813162970245060900
70	66	911/149829330149304318750838157775587259660
70	62	4289/43212557194527590066174696827315960500
70	58	116899/380200869452968622504955472103804664000
70	54	18905/29896770807716361925755522977138200896
70	50	3539/3326468370185863996554587227501514400
70	46	432955/273117745347075761263474962843504667296
70	42	557299/256185547261023541695021406772481364800
70	38	683779/243244632807446771616871111191465537600
70	34	241/69488055833391365455467401885286192
70	30	379/91926595170252379172831557692330000
70	26	461/97011800474154708090933484886917440
70	22	39311/7369447248244936315493563811330232000
70	18	1/170920952859303657952806928845600
70	14	259871/41351492393096027535794295665265537504
70	10	123161/18598664531685873091152494765139096000
70	6	1392355/203174668281852558427026527544758154304
70	2	1259/180624621760942011179674714317452520
72	68	439/1073817507987050831317039342811550169500
72	64	911/136208481953913017046216507068715690600
72	60	124381/5989260427161523983171812980265992125300
72	56	4031/94144977197877944620274688330465916800
72	52	3781/52347342144597000750152460643491044640
72	48	463609/4295498847042553322969088983120228285760
72	44	119641/805347197818300321674349249410334275360
72	40	735881/3820824447721551107565747838149579212160
72	36	2861/11998035649084766025268039862529857520
72	32	91339/321006372547295375096763006545507762400
72	28	461/1399910720735557659974834864286054000
72	24	209/562872065719608276329704027754678400
72	20	22759/55613929194184696237612276414385559840
72	16	151/341695235088974204048703927642857280
