1/8	0	1/4
25/8	3	1/102
41/8	5	1/2090
49/8	6	1/431730
49/8	0	1/2601
57/8	7	225/8822926
65/8	8	1/4373439
65/8	2	1/53295
73/8	9	1039/732571994
73/8	3	1/11009115
81/8	10	20286351/1157826455968490
81/8	4	75/74994871
81/8	0	1/1092025
89/8	11	5347/66130068510
89/8	5	2/223045389
89/8	1	1/225578925
97/8	12	42075/34262905046266
97/8	6	1039/18680585847
97/8	2	45/921995767
97/8	0	1/46597698225
105/8	13	257091/54880498088182
105/8	7	6762117/9841524875732165
105/8	3	2/4570243755
105/8	1	5/21161788011
113/8	14	18649/226059416423282
113/8	8	5347/1686316747005
113/8	4	1039/382768866865
113/8	2	2/944072409735
113/8	0	50625/19461005800369
121/8	15	37614247787/137024242932882163950
121/8	9	825/17131452523133
121/8	5	20286351/604964323243536025
121/8	3	1039/79068326742405
121/8	1	150/6431088110419
129/8	16	44878572/8290470595292410525
129/8	10	5041/27440249044091
129/8	6	5347/34552960796475
129/8	4	2254039/13885233773202116325
129/8	2	233775/1615857123183611
129/8	0	4/19126968686721
137/8	17	6273539925/386740913695198656482
137/8	11	1097/339089124634923
137/8	7	765/325497597939527
137/8	5	5347/7137583619455575
137/8	3	912885795/510770857092612280087
137/8	1	2078/1601929464433683
145/8	18	171928055/491016921549368323958
145/8	12	2212602811/205536364399323245925
145/8	8	257091/28675060251075095
145/8	6	935/82179577753469001
145/8	4	26735/3241448337992557
145/8	2	13524234/843947229627396156185
145/8	0	1079521/134165431598284009
153/8	19	1278812835/1325452297236392661674
153/8	13	1759944/8290470595292410525
153/8	9	18649/118116045081164845
153/8	7	85697/1974463119967567905
153/8	5	9466875/75574768942057873579
153/8	3	10694/144607910347152945
153/8	1	21077518689/212047808888697480117265
161/8	20	355292993351/15835147223431177533926694
161/8	14	2091179975/3287297766409188580097
161/8	10	37614247787/71595166932430930663875
161/8	8	18649/24399157963105884465
161/8	6	57845475/121051643368792815133
161/8	4	28050/24974454197106088129
161/8	2	5555533/12111259037931827235
161/8	0	411536036895201/335140525535138428185968220025
169/8	21	474066395651/8218891238098144428714978
169/8	15	10113415/736525382324052485937
169/8	11	89757144/8663541772080568998625
169/8	9	37614247787/14789369100353304160533375
169/8	7	4196025/498626375676450440783
169/8	5	171394/40002751779713432983
169/8	3	3974175/570455560681266951691
169/8	1	12052346533/2126865079330187280590275
177/8	22	37876123315675/26514677182366881422926087874
177/8	16	426270945/11266344526509337624229
177/8	12	1254707985/40414425481148259602369
177/8	10	9973016/198846937228088466442125
177/8	8	37614247787/1343283061780935888056353
177/8	6	37298/494328534051411003399
177/8	4	267117549/10050978979043168893727
177/8	2	15519058515/180320445095013884887673447
177/8	0	28590409/1093296490284323405025
185/8	23	45804025308390094075/13227557113437760347794751219884778
185/8	17	355292993351/403796254197495027115130697
185/8	13	1809769/2700593068521525781769
185/8	11	418235995/2782794244493801932716231
185/8	9	807814296/1462924171348817728473923
185/8	7	75228495574/299633583994070619111662025
185/8	5	19376311/41401199362920010691077
185/8	3	5215438264941/15885523150806314012058346295
185/8	1	26735/67314565004788927501
193/8	24	858588419727708175/9483934396843391865964395558717222
193/8	18	474066395651/209581726571502682932231939
193/8	14	255762567/138509765061203033144933
193/8	12	2645047/815333598232726101932259
193/8	10	1411546483125/853046615676281075360026583
193/8	8	59838096/12085955809935014864681825
193/8	6	39081203450693/25095030717920473752971604075
193/8	4	378320159799/65434393238918415434273596045
193/8	2	26954227/17790446560952939614455
193/8	0	1770305625/293486665552360031900135689
201/8	25	40086501615986872491/192163896031390151924097851642390362
201/8	19	37876123315675/676124268150355476284615240787
201/8	15	18699631229/435466548644357382182984085
201/8	13	28418063/3179097334921487799025089
201/8	11	38683812375/1083051490894470517256365277
201/8	9	4182359950/281897965808369319500996933
201/8	7	93257672616/3036683287595864095682918425
201/8	5	84783981467561693/4406952599354010218250676228164875
201/8	3	5865659/219843010226503791456615
201/8	1	10817103825/470091323721790653314457103
209/8	26	85999194988013732715/15040041555348619198526997362404530746
209/8	20	45804025308390094075/337302706392662888868766156107061839
209/8	16	24950862929/226019509047698971789661895
