0	0	1
1	0	1/4
2	2	1/64
4	4	9/40960
4	0	1/4096
5	4	1/65536
6	6	25/3670016
6	2	9/2621440
7	6	1/1310720
8	8	15527/57579405312
8	4	25/234881024
8	0	81/1677721600
9	8	1125/30064771072
9	0	1/1073741824
10	10	251145/20882130993152
10	6	15527/3685081939968
10	2	45/30064771072
11	10	227/120259084288
11	2	1/21474836480
12	12	18598401/32317945275219968
12	8	251145/1336456383561728
12	4	46581/786150813859840
12	0	625/13469017440256
13	12	454541/4644337115725824
13	4	1125/492581209243648
13	0	1/429496729600
14	14	2638578917/91484645086776524800
14	10	18598401/2068348497614077952
14	6	452061/171066417095901184
14	2	388175/211317338765524992
15	14	208917/40250921669623808
15	6	227/1970324836974592
15	2	225/1970324836974592
16	16	11593243155/7762080058562616229888
16	12	2638578917/5855017285553697587200
16	8	167385609/1323743038473009889280
16	4	6278625/76637754858963730432
16	0	241087729/3315387916083573817344
17	16	25880735367/92325954088916305838080
17	8	454541/76092819304051900416
17	4	227/39406496739491840
17	0	1265625/225972614902942007296
18	18	11845609164649/149470266351238708765655040
18	14	11593243155/496773123748007438712832
18	10	23747210253/3747211062754366455808000
18	6	464960025/118607376247181686079488
18	2	1299842805/400793561410992034807808
19	18	125277175/8153460880579621814272
19	10	208917/659471100635116470272
19	6	454541/1521856386081038008320
19	2	255375/903890459611768029184
20	20	223502622485749/52160402842908059715778904064
20	16	11845609164649/9566097046479277361001922560
20	12	20867837679/63586959839744952155242496
20	8	2638578917/13430004448911649377615872
20	4	96259124109/620282689950975309142556672
20	0	63073811025/436063394815159333870895104
21	20	166443607629/195241519867762611715047424
21	12	25880735367/1512668431792804754851102720
21	8	208917/13189422012702329405440
21	4	170452875/11635911013790805806546944
21	0	51529/3615561838447072116736
22	22	7663505741318271/32587832633283511593858058158080
22	18	223502622485749/3338265781946115821809849860096
22	14	35536827493947/2040767369915579170347076812800
22	10	289831078875/28486958008205738565548638208
22	6	3151478064943/405202419944305764078924595200
22	2	4670895419145/674867566666661136347101659136
23	22	261219438545/5466762556297353128021327872
23	14	125277175/133586303067416523805032448
23	10	25880735367/30253368635856095097022054400
23	6	235031625/302533686358560950970220544
23	2	103180807/139630932165489669678563328
24	24	277856390178607241/21268391005564321875011235427123200
24	20	7663505741318271/2085621288530144742006915722117120
24	16	670507867457247/712163366815171375319434636820480
24	12	59228045823245/109711653806661536197858849456128
24	8	4615597088915/11459896250158194257226423599104
24	4	10194860032461/29390682193293644754524663971840
24	0	345900519756801/1044449586812112653197550785921024
25	24	61215545321183383/22660561743761085913323863271276544
25	16	166443607629/3198837061513422630339336994816
25	12	25055435/534345212269666095220129792
25	8	5823165457575/138787933684362553379490615001088
25	4	47424159/1210134745434243803880882176
25	0	206607520681/5392466811127116477460585119744
26	26	275786033881645807825/376174882451056383576198721448945123328
26	22	277856390178607241/1361177024356116600000719067335884800
26	18	68971551671864439/1334797624659292634884426062154956800
26	14	5587565562143725/191429512999918065685864030377345024
26	10	14148213346115771/662031465256197612713936828718120960
26	6	223968080935575/12468367120172115351862348875825152
26	2	3774872982193209/227430442572105003773194490662092800
27	26	2929733987165577/19042488860303433540608288463257600
27	18	261219438545/89567437722375833649501435854848
27	14	166443607629/63976741230268452606786739896320
27	10	140936821875/61282983704783465128606245584896
27	6	5874926928309/2775758673687251067589812300021760
27	2	31653780699/15578237454367225379330579234816
28	28	11765389782055118071815/283552266949774056242325791812182635184128
28	24	275786033881645807825/24075192476867608548876718172732487892992
28	20	833569170535821723/290384431862638208000153401031655424000
28	16	38317528706591355/23919573433894524017128915033816825856
28	12	3470325219336224723/3003364976529000235126333038880219987968
28	8	897425494315467/941555861697703271415376823065772032
28	4	16585829622091935/19296498350346371977282238842004307968
28	0	6962098701236892889/8369440286653464138853557256365015040000
29	28	15006736808343995/1701775295384789755250870171901886464
29	20	61215545321183383/371270643609781631603898175836594896896
29	16	52243887709/358269750889503334598005743419392
