0	0	1
2	2	1/64
4	4	9/40960
4	0	1/4096
6	6	25/3670016
6	2	9/2621440
8	8	15527/57579405312
8	4	25/234881024
8	0	81/1677721600
10	10	251145/20882130993152
10	6	15527/3685081939968
10	2	45/30064771072
12	12	18598401/32317945275219968
12	8	251145/1336456383561728
12	4	46581/786150813859840
12	0	625/13469017440256
14	14	2638578917/91484645086776524800
14	10	18598401/2068348497614077952
14	6	452061/171066417095901184
14	2	388175/211317338765524992
16	16	11593243155/7762080058562616229888
16	12	2638578917/5855017285553697587200
16	8	167385609/1323743038473009889280
16	4	6278625/76637754858963730432
16	0	241087729/3315387916083573817344
18	18	11845609164649/149470266351238708765655040
18	14	11593243155/496773123748007438712832
18	10	23747210253/3747211062754366455808000
18	6	464960025/118607376247181686079488
18	2	1299842805/400793561410992034807808
20	20	223502622485749/52160402842908059715778904064
20	16	11845609164649/9566097046479277361001922560
20	12	20867837679/63586959839744952155242496
20	8	2638578917/13430004448911649377615872
20	4	96259124109/620282689950975309142556672
20	0	63073811025/436063394815159333870895104
22	22	7663505741318271/32587832633283511593858058158080
22	18	223502622485749/3338265781946115821809849860096
22	14	35536827493947/2040767369915579170347076812800
22	10	289831078875/28486958008205738565548638208
22	6	3151478064943/405202419944305764078924595200
22	2	4670895419145/674867566666661136347101659136
24	24	277856390178607241/21268391005564321875011235427123200
24	20	7663505741318271/2085621288530144742006915722117120
24	16	670507867457247/712163366815171375319434636820480
24	12	59228045823245/109711653806661536197858849456128
24	8	4615597088915/11459896250158194257226423599104
24	4	10194860032461/29390682193293644754524663971840
24	0	345900519756801/1044449586812112653197550785921024
26	26	275786033881645807825/376174882451056383576198721448945123328
26	22	277856390178607241/1361177024356116600000719067335884800
26	18	68971551671864439/1334797624659292634884426062154956800
26	14	5587565562143725/191429512999918065685864030377345024
26	10	14148213346115771/662031465256197612713936828718120960
26	6	223968080935575/12468367120172115351862348875825152
26	2	3774872982193209/227430442572105003773194490662092800
28	28	11765389782055118071815/283552266949774056242325791812182635184128
28	24	275786033881645807825/24075192476867608548876718172732487892992
28	20	833569170535821723/290384431862638208000153401031655424000
28	16	38317528706591355/23919573433894524017128915033816825856
28	12	3470325219336224723/3003364976529000235126333038880219987968
28	8	897425494315467/941555861697703271415376823065772032
28	4	16585829622091935/19296498350346371977282238842004307968
28	0	6962098701236892889/8369440286653464138853557256365015040000
30	30	44195950093926100979475/18683719816355555548262806853594851863166976
30	26	11765389782055118071815/18147345084785539599508850675979688651784192
30	22	55157206776329161565/342402737448783766028468880678862050033664
30	18	277856390178607241/3122213411387086012417649367892359118848
30	14	3051057785780738303/48112513421319271165882160525162986864640
30	10	1100618943611439855/21357262055317335005342812720926008803328
30	6	332291688285697023/7285930449791682042079715925396228669440
30	2	6117937393687512627/142022227858549297752797277877151706644480
32	32	301421705547234058464214535/2221178471029715222072083550673354218711963140096
32	28	44195950093926100979475/1195758068246755555088819638630070519242686464
32	24	21177701607699212529267/2322860170852549068737132886525400147428376576
32	20	6894650847041145195625/1380567837393496144626786526897171785735733248
32	16	4314276170303234631007/1224621306043483336527699729212180170958438400
